frame,latency_ms,jitter_ms,size_bytes,timestamp_unix
145,299.3767,0.1795,39283,1770974483.994
146,289.5095,9.8672,41003,1770974484.024
147,291.5230,2.0134,41354,1770974484.066
148,284.6105,6.9125,40715,1770974484.099
149,283.4151,1.1954,39050,1770974484.138
150,285.3866,1.9715,39403,1770974484.18
151,289.4075,4.0209,40883,1770974484.224
152,285.4393,3.9682,41779,1770974484.26
153,292.5022,7.0629,42423,1770974484.307
154,294.5695,2.0673,42123,1770974484.344
155,297.4367,2.8672,41615,1770974484.387
156,289.4723,7.9644,41379,1770974484.419
157,290.5691,1.0967,39822,1770974484.46
158,284.5449,6.0241,38658,1770974484.494
159,289.6276,5.0826,40815,1770974484.539
160,296.6619,7.0343,41479,1770974484.586
161,299.7019,3.0401,40374,1770974484.629
162,296.7556,2.9464,40311,1770974484.666
163,293.6556,3.0999,41179,1770974484.703
164,287.7557,5.8999,41471,1770974484.737
165,285.8293,1.9264,41811,1770974484.775
166,294.9774,9.1481,41883,1770974484.824
167,285.1403,9.8372,41007,1770974484.854
168,285.2645,0.1242,40487,1770974484.895
169,299.4432,14.1788,39027,1770974484.949
170,291.6245,7.8187,40731,1770974484.981
171,288.8107,2.8138,40351,1770974485.018
172,296.0017,7.1909,40683,1770974485.065
173,290.0431,5.9586,39138,1770974485.099
174,296.2096,6.1665,40991,1770974485.145
175,291.2393,4.9703,41199,1770974485.18
176,286.4158,4.8234,41431,1770974485.215
177,284.5175,1.8983,41183,1770974485.253
178,298.6019,14.0843,40962,1770974485.307
179,310.3783,11.7764,40807,1770974485.354
180,298.5342,11.8442,40447,1770974485.382
181,296.2139,2.3203,40227,1770974485.42
182,302.3481,6.1343,39929,1770974485.466
183,301.4607,0.8874,39971,1770974485.505
184,302.5110,1.0502,40134,1770974485.546
185,296.6747,5.8362,39707,1770974485.58
186,285.8310,10.8438,40698,1770974485.609
187,290.9887,5.1577,41003,1770974485.654
188,304.0156,13.0270,39543,1770974485.707
189,297.1859,6.8297,39139,1770974485.74
190,293.3931,3.7928,39166,1770974485.776
191,291.5690,1.8241,40354,1770974485.814
192,292.7568,1.1878,40979,1770974485.855
193,286.8621,5.8947,39803,1770974485.889
194,297.1022,10.2401,39827,1770974485.939
195,307.3282,10.2260,40185,1770974485.989
196,293.3664,13.9618,40343,1770974486.015
197,293.5174,0.1509,39423,1770974486.055
198,284.6551,8.8623,39274,1770974486.086
199,287.8809,3.2258,42490,1770974486.129
200,291.9207,4.0398,43359,1770974486.173
201,285.9023,6.0184,43971,1770974486.207
202,287.9541,2.0518,43822,1770974486.249
203,286.9430,1.0111,43607,1770974486.288
204,298.0061,11.0631,39614,1770974486.339
205,297.9696,0.0365,38379,1770974486.375
206,315.9328,17.9632,40011,1770974486.434
207,289.1011,26.8316,39638,1770974486.448
208,287.4799,1.6212,39651,1770974486.487
209,298.5697,11.0898,39587,1770974486.538
210,287.7338,10.8359,39595,1770974486.567
211,292.8932,5.1594,39591,1770974486.612
212,300.1029,7.2098,39646,1770974486.659
213,289.2716,10.8314,39591,1770974486.688
214,289.3987,0.1271,39719,1770974486.728
215,291.5533,2.1546,39575,1770974486.77
216,296.7103,5.1570,39691,1770974486.815
217,293.9608,2.7494,39875,1770974486.852
218,284.1945,9.7663,39739,1770974486.882
219,292.3386,8.1441,39767,1770974486.93
220,285.5265,6.8121,39767,1770974486.963
221,288.6674,3.1409,39731,1770974487.006
222,288.9431,0.2756,39702,1770974487.046
223,286.1450,2.7981,39738,1770974487.083
224,282.2711,3.8738,39667,1770974487.119
225,290.4909,8.2197,39707,1770974487.167
226,282.6021,7.8888,39747,1770974487.199
227,296.7057,14.1037,39747,1770974487.253
228,289.8495,6.8562,39635,1770974487.286
229,290.9410,1.0915,39794,1770974487.327
230,295.0149,4.0739,39675,1770974487.366
231,284.0092,11.0056,39723,1770974487.395
232,291.2161,7.2069,39727,1770974487.442
233,287.3378,3.8784,39703,1770974487.478
234,282.3393,4.9984,39699,1770974487.513
235,283.5338,1.1945,39735,1770974487.554
236,303.3760,19.8421,39651,1770974487.614
237,292.4366,10.9394,39723,1770974487.643
238,290.5381,1.8985,39753,1770974487.681
239,283.5462,6.9919,39771,1770974487.714
240,284.6031,1.0569,39706,1770974487.755
241,291.6808,7.0777,39739,1770974487.802
242,283.7613,7.9195,39742,1770974487.834
243,287.9012,4.1399,39738,1770974487.878
244,297.9028,10.0017,39707,1770974487.928
245,294.0586,3.8443,39699,1770974487.964
