frame,latency_ms,jitter_ms,size_bytes,timestamp_unix
145,292.3362,0.9093,39391,1770975221.634
146,291.4436,0.8926,39426,1770975221.673
147,293.6697,2.2261,39387,1770975221.715
148,283.8893,9.7804,39498,1770975221.745
149,283.1047,0.7846,39631,1770975221.784
150,289.1238,6.0191,39551,1770975221.83
151,284.2765,4.8473,39806,1770975221.865
152,292.4860,8.2095,39787,1770975221.913
153,287.6661,4.8199,39595,1770975221.948
154,286.9453,0.7207,39713,1770975221.987
155,282.4662,4.4792,39791,1770975222.019
156,296.6616,14.1954,39903,1770975222.073
157,291.7213,4.9403,40023,1770975222.108
158,293.6025,1.8811,39966,1770975222.15
159,287.8089,5.7936,39939,1770975222.184
160,297.9543,10.1454,40050,1770975222.234
161,283.1728,14.7815,40015,1770975222.259
162,292.3889,9.2161,40023,1770975222.308
163,289.5832,2.8057,40003,1770975222.345
164,301.7035,12.1202,39862,1770975222.397
165,305.8665,4.1630,40006,1770975222.441
166,299.0901,6.7763,39947,1770975222.474
167,288.2843,10.8058,40039,1770975222.503
168,301.4576,13.1733,39879,1770975222.556
169,293.6838,7.7739,39935,1770975222.588
170,300.7610,7.0772,39963,1770975222.635
171,292.8998,7.8611,39979,1770975222.667
172,291.9865,0.9134,39942,1770975222.706
173,283.0391,8.9474,39923,1770975222.737
174,292.8185,9.7795,40131,1770975222.787
175,300.9288,8.1103,40055,1770975222.835
176,302.1483,1.2195,40214,1770975222.876
177,294.2863,7.8621,40003,1770975222.908
178,301.4629,7.1766,40019,1770975222.955
179,285.6443,15.8186,39867,1770975222.979
180,304.4879,18.8437,39947,1770975223.033
181,280.6520,23.8359,40083,1770975223.049
182,313.8764,33.2243,40098,1770975223.122
183,300.9481,12.9282,40103,1770975223.15
184,280.8411,20.1070,40227,1770975223.17
185,284.0483,3.2072,40151,1770975223.213
186,296.2418,12.1934,40163,1770975223.265
187,288.4424,7.7994,40038,1770975223.297
188,280.4551,7.9873,40063,1770975223.329
189,299.6831,19.2280,40079,1770975223.388
190,295.9065,3.7766,39890,1770975223.424
191,287.0524,8.8542,39946,1770975223.455
192,295.2521,8.1997,39835,1770975223.503
193,285.4350,9.8171,39911,1770975223.533
194,280.6861,4.7488,39895,1770975223.568
195,287.8399,7.1537,39883,1770975223.615
196,299.8366,11.9967,39951,1770975223.667
197,291.9748,7.8619,39907,1770975223.699
198,301.1482,9.1734,39971,1770975223.748
199,281.3315,19.8166,39675,1770975223.768
200,282.5034,1.1718,39902,1770975223.809
201,288.5621,6.0587,40003,1770975223.855
202,285.7344,2.8276,40122,1770975223.892
203,300.8773,15.1429,39967,1770975223.947
204,289.0067,11.8706,40079,1770975223.975
205,291.7848,2.7781,39891,1770975224.016
206,285.9006,5.8842,40111,1770975224.05
207,286.1111,0.2105,40131,1770975224.09
208,305.2135,19.1023,39914,1770975224.149
209,288.9240,16.2895,39931,1770975224.173
210,288.8303,0.0937,39759,1770975224.213
211,297.7860,8.9557,39755,1770975224.263
212,291.9970,5.7890,39827,1770975224.297
213,293.1161,1.1191,39711,1770975224.338
