seq,rtt_ms,inter_arrival_ms,timestamp
236,57.390,59.000,1770976438.821812
237,79.192,81.008,1770976438.902820
238,56.074,59.067,1770976438.961888
239,54.024,55.969,1770976439.017857
240,50.355,52.043,1770976439.069900
241,53.727,55.575,1770976439.125475
242,53.550,55.402,1770976439.180877
243,53.809,56.005,1770976439.236882
244,54.362,55.997,1770976439.292879
245,56.226,57.930,1770976439.350809
246,52.103,54.070,1770976439.404880
247,61.364,62.956,1770976439.467835
248,55.076,58.155,1770976439.525990
249,54.152,55.853,1770976439.581843
250,56.208,64.158,1770976439.646001
251,56.256,63.841,1770976439.709843
252,56.444,64.279,1770976439.774122
253,58.205,65.767,1770976439.839888
254,60.520,62.322,1770976439.902210
255,56.249,59.632,1770976439.961842
256,54.395,56.106,1770976440.017948
257,53.099,54.860,1770976440.072808
258,50.369,52.048,1770976440.124856
259,54.285,56.068,1770976440.180923
260,50.117,52.033,1770976440.232956
261,55.013,56.945,1770976440.289901
262,56.525,58.159,1770976440.348060
263,58.694,60.863,1770976440.408923
264,55.295,56.948,1770976440.465871
265,61.081,62.939,1770976440.528810
266,49.230,52.038,1770976440.580848
267,54.290,56.053,1770976440.636901
268,62.298,64.010,1770976440.700912
269,70.076,73.095,1770976440.774007
270,55.695,58.881,1770976440.832888
271,58.239,59.986,1770976440.892874
272,55.374,57.118,1770976440.949992
273,52.636,54.847,1770976441.004839
274,52.185,54.035,1770976441.058874
275,52.271,54.072,1770976441.112947
276,57.406,59.256,1770976441.172202
277,56.546,58.910,1770976441.231112
278,56.792,58.783,1770976441.289895
279,54.334,56.039,1770976441.345934
280,54.304,56.177,1770976441.402111
281,55.566,57.832,1770976441.459944
282,54.959,56.887,1770976441.516831
283,54.470,56.008,1770976441.572839
284,50.569,52.341,1770976441.625180
285,53.305,55.641,1770976441.680821
286,60.203,62.082,1770976441.742903
287,54.982,57.996,1770976441.800899
288,50.127,51.956,1770976441.852855
289,55.123,57.150,1770976441.910005
290,81.146,82.923,1770976441.992928
291,49.882,52.922,1770976442.045850
292,59.277,60.987,1770976442.106837
293,58.261,60.080,1770976442.166916
294,48.509,50.320,1770976442.217236
295,58.374,60.614,1770976442.277850
296,60.577,62.280,1770976442.340130
297,58.678,61.843,1770976442.401972
298,57.115,58.944,1770976442.460917
299,54.008,55.963,1770976442.516880
300,51.100,52.936,1770976442.569815
301,53.442,55.417,1770976442.625233
302,60.365,62.665,1770976442.687897
303,54.752,58.012,1770976442.745909
304,59.130,61.030,1770976442.806939
305,63.217,65.172,1770976442.872112
306,54.805,57.952,1770976442.930064
307,57.787,59.827,1770976442.989891
308,54.047,55.988,1770976443.045879
309,54.063,56.061,1770976443.101940
310,71.924,73.937,1770976443.175877
311,53.771,56.956,1770976443.232833
312,62.249,64.157,1770976443.296990
313,53.738,56.907,1770976443.353897
314,60.241,62.171,1770976443.416068
315,51.838,55.069,1770976443.471137
316,52.865,54.862,1770976443.525998
317,52.854,54.852,1770976443.580850
318,55.248,57.070,1770976443.637920
319,53.134,55.053,1770976443.692973
320,53.986,55.895,1770976443.748868
321,55.122,56.988,1770976443.805856
322,61.217,63.039,1770976443.868896
323,56.772,59.995,1770976443.928891
324,59.471,61.133,1770976443.990023
325,58.938,60.907,1770976444.050930
326,57.235,59.060,1770976444.109990
327,54.631,56.930,1770976444.166919
328,54.329,56.083,1770976444.223002
329,57.004,58.940,1770976444.281942
330,55.299,57.148,1770976444.339090
331,57.864,59.841,1770976444.398932
332,58.897,60.989,1770976444.459921
333,49.616,51.967,1770976444.511888
334,56.183,58.011,1770976444.569899
335,58.069,60.119,1770976444.630018
336,52.893,54.880,1770976444.684898
337,55.364,57.168,1770976444.742066
338,56.170,59.877,1770976444.801943
339,55.301,57.148,1770976444.859091
