seq,rtt_ms,inter_arrival_ms,timestamp
151,54.898,57.091,1770976231.199408
152,56.632,58.888,1770976231.258295
153,55.429,57.689,1770976231.315984
154,57.190,59.021,1770976231.375005
155,52.337,54.397,1770976231.429403
156,51.715,53.934,1770976231.483336
157,53.585,55.970,1770976231.539306
158,53.655,55.982,1770976231.595289
159,48.676,51.008,1770976231.646297
160,57.631,59.860,1770976231.706156
161,59.126,61.113,1770976231.767270
162,57.719,59.942,1770976231.827212
163,57.407,59.806,1770976231.887018
164,58.138,60.023,1770976231.947041
165,58.176,60.209,1770976232.007250
166,57.953,60.052,1770976232.067302
167,53.773,55.996,1770976232.123298
168,53.802,55.946,1770976232.179245
169,56.822,59.004,1770976232.238248
170,49.840,51.956,1770976232.290205
171,53.583,56.044,1770976232.346248
172,58.639,60.997,1770976232.407245
173,56.453,58.701,1770976232.465946
174,70.730,72.441,1770976232.538387
175,53.437,56.921,1770976232.595308
176,56.733,58.969,1770976232.654278
177,53.906,56.076,1770976232.710353
178,54.549,56.875,1770976232.767229
179,58.890,61.032,1770976232.828260
180,56.874,59.071,1770976232.887332
181,56.802,58.961,1770976232.946293
182,53.464,55.727,1770976233.002020
183,54.074,55.924,1770976233.057944
184,54.559,56.280,1770976233.114224
185,54.852,57.053,1770976233.171277
186,56.791,58.964,1770976233.230241
187,54.917,57.117,1770976233.287358
188,52.738,54.877,1770976233.342235
189,55.907,58.088,1770976233.400322
190,56.792,58.990,1770976233.459312
191,71.792,73.942,1770976233.533254
192,53.573,56.854,1770976233.590108
193,54.236,55.991,1770976233.646098
194,57.057,59.095,1770976233.705193
195,55.066,57.257,1770976233.762450
196,53.707,55.805,1770976233.818255
197,57.806,60.035,1770976233.878290
198,53.860,55.965,1770976233.934255
199,54.757,57.003,1770976233.991258
200,56.779,58.996,1770976234.050255
201,55.619,58.024,1770976234.108279
202,57.590,59.839,1770976234.168118
203,53.237,55.022,1770976234.223140
204,53.925,55.892,1770976234.279032
205,55.449,57.330,1770976234.336362
206,56.697,58.912,1770976234.395274
207,62.950,65.050,1770976234.460325
208,51.630,54.941,1770976234.515266
209,52.975,55.040,1770976234.570306
210,53.712,55.983,1770976234.626289
211,53.704,55.761,1770976234.682050
212,55.104,56.950,1770976234.739000
213,54.297,55.992,1770976234.794992
214,53.364,55.155,1770976234.850147
215,55.368,57.176,1770976234.907322
216,56.823,58.964,1770976234.966286
217,53.889,56.015,1770976235.022301
218,54.726,57.003,1770976235.079304
219,53.878,55.998,1770976235.135302
220,62.846,65.010,1770976235.200312
221,54.754,57.984,1770976235.258296
222,54.494,56.715,1770976235.315010
223,53.310,55.072,1770976235.370082
