seq,rtt_ms,status,timestamp
0,51.929,OK,1770975920.611082
1,56.812,OK,1770975920.671441
2,72.340,OK,1770975920.753170
3,64.147,OK,1770975920.831139
4,58.228,OK,1770975920.891096
5,59.319,OK,1770975920.952205
6,57.245,OK,1770975921.011407
7,57.810,OK,1770975921.071397
8,57.794,OK,1770975921.131392
9,58.820,OK,1770975921.192412
10,57.171,OK,1770975921.251339
11,59.335,OK,1770975921.312579
12,57.436,OK,1770975921.372506
13,57.356,OK,1770975921.432095
14,58.131,OK,1770975921.492067
15,58.506,OK,1770975921.552416
16,76.597,OK,1770975921.631367
17,56.348,OK,1770975921.691146
18,58.875,OK,1770975921.752335
19,57.912,OK,1770975921.812417
20,56.933,OK,1770975921.871465
21,58.747,OK,1770975921.932457
22,57.624,OK,1770975921.992395
23,58.444,OK,1770975922.053108
24,58.364,OK,1770975922.113165
25,56.269,OK,1770975922.171414
26,57.762,OK,1770975922.231362
27,58.718,OK,1770975922.292349
28,57.789,OK,1770975922.352376
29,57.896,OK,1770975922.412419
30,97.522,OK,1770975922.512167
31,56.005,OK,1770975922.571351
32,57.480,OK,1770975922.631100
33,51.300,OK,1770975922.684139
34,65.237,OK,1770975922.751389
35,56.518,OK,1770975922.811352
36,57.493,OK,1770975922.871204
37,58.054,OK,1770975922.931254
38,57.942,OK,1770975922.991418
39,57.853,OK,1770975923.051483
40,57.309,OK,1770975923.111170
41,58.085,OK,1770975923.171202
42,50.190,OK,1770975923.223272
43,49.271,OK,1770975923.274446
44,54.398,OK,1770975923.331343
45,57.844,OK,1770975923.391370
46,50.688,OK,1770975923.444380
47,64.558,OK,1770975923.511418
48,57.661,OK,1770975923.571413
49,57.668,OK,1770975923.631361
50,57.532,OK,1770975923.691178
51,58.973,OK,1770975923.752089
52,55.437,OK,1770975923.811206
53,57.051,OK,1770975923.870259
54,59.178,OK,1770975923.931471
55,57.648,OK,1770975923.991354
56,57.753,OK,1770975924.051366
57,57.751,OK,1770975924.111378
58,57.787,OK,1770975924.171426
59,98.852,OK,1770975924.272475
60,61.188,OK,1770975924.337198
61,77.997,OK,1770975924.418200
62,69.895,OK,1770975924.491359
