seq,rtt_ms,status,timestamp
0,63.722,OK,1770976540.119777
1,49.765,OK,1770976540.173093
2,48.763,OK,1770976540.224168
3,57.411,OK,1770976540.284037
4,56.653,OK,1770976540.342918
5,60.892,OK,1770976540.405723
6,49.061,OK,1770976540.457773
7,54.666,OK,1770976540.514130
8,57.616,OK,1770976540.574039
9,63.766,OK,1770976540.639997
10,58.137,OK,1770976540.701792
11,54.454,OK,1770976540.758111
12,56.091,OK,1770976540.817810
13,54.229,OK,1770976540.873869
14,53.779,OK,1770976540.929949
15,52.712,OK,1770976540.984726
16,56.307,OK,1770976541.042736
17,52.301,OK,1770976541.096738
18,49.608,OK,1770976541.148144
19,52.214,OK,1770976541.202031
20,54.914,OK,1770976541.259087
21,51.376,OK,1770976541.313006
22,60.038,OK,1770976541.375111
23,46.609,OK,1770976541.425167
24,55.664,OK,1770976541.483056
25,52.648,OK,1770976541.538004
26,57.677,OK,1770976541.597821
27,53.972,OK,1770976541.653712
28,50.560,OK,1770976541.705809
29,55.839,OK,1770976541.763528
30,56.478,OK,1770976541.822164
31,57.369,OK,1770976541.883081
32,56.751,OK,1770976541.942116
33,58.530,OK,1770976542.003025
34,56.796,OK,1770976542.062011
35,58.715,OK,1770976542.123056
36,52.550,OK,1770976542.177773
37,68.870,OK,1770976542.248820
38,52.851,OK,1770976542.304811
39,57.276,OK,1770976542.364009
40,52.251,OK,1770976542.418473
41,56.151,OK,1770976542.476863
42,52.055,OK,1770976542.530810
43,52.383,OK,1770976542.585063
44,49.923,OK,1770976542.637029
45,53.568,OK,1770976542.692816
46,48.269,OK,1770976542.742881
47,53.083,OK,1770976542.798134
48,53.823,OK,1770976542.853772
49,52.264,OK,1770976542.907773
50,57.059,OK,1770976542.967054
51,56.816,OK,1770976543.026070
52,53.755,OK,1770976543.082075
53,53.779,OK,1770976543.138235
54,53.364,OK,1770976543.193964
55,53.970,OK,1770976543.250010
56,53.622,OK,1770976543.305866
57,54.053,OK,1770976543.362027
58,51.561,OK,1770976543.415889
59,57.110,OK,1770976543.474814
60,53.473,OK,1770976543.529988
61,53.953,OK,1770976543.586071
62,53.682,OK,1770976543.642100
63,57.766,OK,1770976543.702132
64,57.491,OK,1770976543.762075
65,57.648,OK,1770976543.822047
66,61.516,OK,1770976543.885785
67,57.165,OK,1770976543.946043
68,53.401,OK,1770976544.001745
69,56.243,OK,1770976544.059799
70,52.350,OK,1770976544.113922
71,54.074,OK,1770976544.170080
72,49.597,OK,1770976544.222099
73,61.635,OK,1770976544.286053
74,56.720,OK,1770976544.346141
75,49.579,OK,1770976544.398059
76,53.692,OK,1770976544.454031
77,53.750,OK,1770976544.510085
78,53.670,OK,1770976544.566048
79,56.434,OK,1770976544.624834
80,54.941,OK,1770976544.681875
81,54.007,OK,1770976544.738071
82,57.592,OK,1770976544.798053
83,56.756,OK,1770976544.857137
84,54.347,OK,1770976544.913836
85,55.234,OK,1770976544.971027
86,56.555,OK,1770976545.029741
87,58.026,OK,1770976545.089872
88,53.693,OK,1770976545.145712
89,53.215,OK,1770976545.200731
90,52.130,OK,1770976545.254800
91,52.933,OK,1770976545.309790
92,59.946,OK,1770976545.371766
93,52.033,OK,1770976545.427049
94,82.617,OK,1770976545.511391
95,56.197,OK,1770976545.570786
