timestamp,frame_idx,proc_time_ms,fps_instantaneo
1770646065.9267051,2850,31.97,31.28
1770646066.9264627,2880,31.02,32.23
1770646067.9306402,2910,36.06,27.73
1770646068.9306545,2940,31.96,31.29
1770646069.930635,2970,31.71,31.54
1770646070.934711,3000,35.95,27.82
1770646071.934548,3030,32.04,31.21
1770646072.9345305,3060,32.11,31.14
1770646073.9384534,3090,35.79,27.94
1770646074.9384987,3120,32.05,31.21
1770646075.9387965,3150,32.00,31.25
1770646076.9424279,3180,36.05,27.74
1770646077.9431198,3210,32.24,31.02
1770646078.9427447,3240,31.88,31.37
1770646079.9466753,3270,36.29,27.56
1770646080.9465797,3300,31.99,31.26
1770646081.946525,3330,32.09,31.16
1770646082.950924,3360,35.59,28.10
1770646083.9507983,3390,32.18,31.08
1770646084.9506292,3420,32.18,31.07
1770646085.9546115,3450,36.22,27.61
1770646086.9548376,3480,32.34,30.92
1770646087.9546254,3510,32.08,31.17
1770646088.9586167,3540,36.16,27.66
1770646089.9585295,3570,32.10,31.16
1770646090.9584744,3600,31.86,31.39
1770646091.9626262,3630,36.20,27.62
1770646092.9627492,3660,32.03,31.22
1770646093.9625092,3690,32.07,31.18
1770646094.966573,3720,35.84,27.90
1770646095.9666395,3750,31.89,31.36
1770646096.9666405,3780,31.66,31.59
1770646097.9706118,3810,36.06,27.73
1770646098.9706974,3840,32.12,31.13
1770646099.970659,3870,32.03,31.22
1770646100.9745653,3900,36.02,27.76
1770646101.9745128,3930,32.09,31.16
1770646102.9749153,3960,31.68,31.57
1770646103.9785123,3990,36.09,27.71
1770646104.978656,4020,31.94,31.31
1770646105.9785068,4050,32.09,31.16
1770646106.9826832,4080,36.12,27.69
1770646107.982529,4110,31.60,31.64
1770646108.9826488,4140,32.00,31.25
1770646109.9865344,4170,36.07,27.72
1770646110.9864779,4200,31.87,31.38
1770646111.9866865,4230,31.95,31.30
1770646112.9905255,4260,36.09,27.71
1770646113.9904659,4290,31.91,31.34
1770646114.9906607,4320,32.24,31.02
1770646115.9946072,4350,36.21,27.61
1770646116.9944844,4380,32.03,31.22
1770646117.9947608,4410,32.14,31.11
1770646118.9987204,4440,36.35,27.51
1770646119.998591,4470,31.94,31.31
1770646120.9985383,4500,31.98,31.27
1770646122.0024877,4530,36.07,27.73
1770646123.002466,4560,31.99,31.26
1770646124.0025752,4590,32.16,31.10
1770646125.0066676,4620,36.20,27.63
1770646126.0065558,4650,32.11,31.14
